sentiment,text
positive,but they can win 
neutral,georgia at least votes to still come in trump lead has shrunk to just 
neutral,congress at this hour senate republicans democrats needed for a majority house of representatives democrats republicans needed for a majority
neutral,pennsylvania reporting trump biden 
neutral,georgia in trump biden 
negative,trump campaign losing georgia will be the end of the race
positive,we love you queen thanks for splitting the vote 
neutral,pennsylvania biden has shrunk trump s lead from k to just k with a lot of vote to still be counted 
positive,georgia at least mail in ballots to still be counted trump leads by just good news for biden in georgia
neutral,biden did that 
neutral,popular vote at this hour biden trump jorgensen hawkins other 
neutral, same as 
neutral,so the polls were off by about points in favor of the incumbent like 
positive,biden only need to win of the outstanding ballots in pa to win which he very likely will 
neutral,live shots of air force one 
neutral,pennsylvania in trump biden 
positive,popular vote so far biden trump jorgensen hawkins other 
neutral,y all play too much 
negative,cancelled
negative,cons owned 
neutral,pennsylvania in trump biden 
negative,we will hide and block fake news spreaders 
negative,this is fake news these were sample ballots report 
neutral,say hi to him 
neutral,to freak democrats out fox news has invited joe lieberman to speak right now
positive,promises made promises kept 
negative,rumors on the internets that donald trump has flown out of dc 
negative,rt sir stop being delusional
negative, sir stop being delusional
neutral,georgia you re just going to leave us on the edge like that 
neutral,from voters 
neutral,georgia in trump biden 
negative,america learning the painful lesson again tonight land doesn t vote people do
neutral,pennsylvania in trump biden 
positive,michigan in biden trump biden has won the state and is extending his lead
neutral,karen energy 
neutral,meltdown underway on fox news
neutral,pennsylvania in trump biden 
positive,you know the routine guys when they pause the vote count they are not optimistic 
neutral,and that s the tea 
neutral,will capital of black america deliver the final blow to donald trump s chances we will see 
neutral,fulton county ga officials expected to report a big dump of votes
positive,all i am saying is northampton county flipped blue after all the votes have been tallied there and that s a good sign for biden in pa 
neutral,pennsylvania in trump biden 
neutral,this is still the case 
neutral,anne spilled 
neutral, we ve gone from picking cotton to picking presidents despite all the noise and fury about hispanics and asians being the ascendant groups in america it s black voters who are being heard loud and clear today 
positive,electoral college at this hour biden trump to win
negative, lies 
negative,nevada if you weren t so lazy you could ve had pennsylvania s lunch
neutral,cope sir 
positive,popular vote at this hour biden million trump million jorgensen million hawkins million other million 
positive,yes 
neutral,ap confirmed what we knew all along arizona is game over for trump 
positive,georgia in trump biden biden needs of the outstanding vote to win 
positive,say something nice about trump s chief strategist 
neutral,we were telling y all about this hours ago 
positive,yes he is 
neutral,pennsylvania in trump biden 
neutral,georgia in trump biden 
negative,rt there s been a disproportionate focus on the hispanic vote the past hours but black voters rescued biden s dead 
