sentiment,text
negative,popular vote at this hour biden trump jorgensen hawkins other 
positive, same as 
negative,so the polls were off by about points in favor of the incumbent like 
positive,biden only need to win of the outstanding ballots in pa to win which he very likely will 
negative,live shots of air force one 
negative,pennsylvania in trump biden 
positive,popular vote so far biden trump jorgensen hawkins other 
positive,y all play too much 
neutral,name
neutral,cons owned 
positive,pennsylvania in trump biden 
neutral,we will hide and block fake news spreaders 
negative,this is fake news these were sample ballots report 
negative,say hi to him 
neutral,to freak democrats out fox news has invited joe lieberman to speak right now
positive,promises made promises kept 
positive,rumors on the internets that donald trump has flown out of dc 
negative,rt sir stop being delusional
positive, sir stop being delusional
positive,georgia you re just going to leave us on the edge like that 
neutral,from voters 
positive,georgia in trump biden 
positive,america learning the painful lesson again tonight land doesn t vote people do
positive,pennsylvania in trump biden 
positive,michigan in biden trump biden has won the state and is extending his lead
negative,karen energy 
positive,meltdown underway on fox news
negative,pennsylvania in trump biden 
negative,you know the routine guys when they pause the vote count they are not optimistic 
neutral,and that s the tea 
neutral,will capital of black america deliver the final blow to donald trump s chances we will see 
negative,fulton county ga officials expected to report a big dump of votes
positive,all i am saying is northampton county flipped blue after all the votes have been tallied there and that s a good sign for biden in pa 
negative,pennsylvania in trump biden 
positive,this is still the case 
positive,anne spilled 
neutral, we ve gone from picking cotton to picking presidents despite all the noise and fury about hispanics and asians being the ascendant groups in america it s black voters who are being heard loud and clear today 
positive,electoral college at this hour biden trump to win
positive, lies 
positive,nevada if you weren t so lazy you could ve had pennsylvania s lunch
neutral,cope sir 
positive,popular vote at this hour biden million trump million jorgensen million hawkins million other million 
negative,yes 
neutral,ap confirmed what we knew all along arizona is game over for trump 
negative,georgia in trump biden biden needs of the outstanding vote to win 
neutral,say something nice about trump s chief strategist 
neutral,we were telling y all about this hours ago 
neutral,yes he is 
neutral,pennsylvania in trump biden 
neutral,georgia in trump biden 
negative,rt breaking joe biden has surpassed barack obama s popular vote total breaking the record for most votes ever recei 
negative,rt there s been a disproportionate focus on the hispanic vote the past hours but black voters rescued biden s dead 
negative,obama had bde that s what was up 
neutral,there s been a disproportionate focus on the hispanic vote the past hours but black voters rescued biden s dead primary campaign delivered him towering margins in midwestern urban centers hispanic voters were not able to help sanders or trump in a game changing way
positive,donald trump will not appear today
positive,almost all of the arizona vote will be in tonight a dump at pm est and a second at am est
positive, lmao
positive,an incumbent president will lose for the first time since the bar for republicans is so low 
positive,this election will be called tonight 
positive,third party vote collapse 
negative,popular vote at this hour biden trump jorgensen hawkins other 
positive,funny how this was likely not off 
positive,name
positive,cope bro 
neutral,trump campaign declared they won wisconsin and michigan last night now they re practically conceding them does anyone believe them 
neutral,they don t know how to play tough republicans throw out their votes democrats 
neutral,red mirage crumbling right before our eyes 
positive,thanks i hate it 
neutral,fox news not backing down from their decision to call arizona for biden
negative,fox news also projecting electoral votes for biden
positive,rt stop lying donald
positive, stop lying donald
neutral,maricopa county pm and am est are the dump times
positive,nevada or georgia or pennsylvania will put joe biden over the threshold
positive,we will comment on the berniewouldhavewon discussion later there s enough disunity in the country as is 
negative,has someone checked up on 
positive,black voters saving the democratic party s ass for the cant count time 
neutral,white house trump campaign sounding extremely pessimistic
positive,not aging well 
positive,name
neutral,arizona will vote biden when all is said and done the trump campaign is yet to come up with any receipts suggesting otherwise 
neutral,electoral college vote at this hour biden trump needed to win
neutral,michigan is outside recount range no tantrums will be entertained from the trump campaign there 
positive,breaking biden has won michigan his fourth flip of the election from trump
positive,rt joe biden we will win wisconsin michigan arizona and pennsylvania
neutral,rt joe biden it s clear we are winning enough states to win the electoral votes needed to win
negative,sounds an awful lot like a victory speech even though he said it isn t 
positive,joe biden we will win wisconsin michigan arizona and pennsylvania
positive,joe biden it s clear we are winning enough states to win the electoral votes needed to win
neutral,joe biden yesterday proved that democracy is the heartbeat of this nation
negative,wilmington de biden to address the nation shortly
neutral,count 
neutral,all votes will be counted cope 
positive,pennsylvania in trump biden 
positive,name
positive,we can say this much with certainty trump will go down in history as someone who lost the popular vote twice 
neutral,breaking at million joe biden s popular vote lead has surpassed hillary clinton s million 
positive,i m confident i will find a man during the pandemic 
negative, liar as trump would tweet 
positive,popular vote at this hour biden million trump million jorgensen million hawkins million other million
positive,cnn biden needs only of the outstanding vote in arizona to win the state the vote is primarily mail in which favors democrats 
neutral,if the nyt doesn t put up the georgia needle in the next hour i m heading to manhattan to protest outside the times headquarters 
positive,trump s paths to victory soon 
neutral, what is the needle saying 
positive,georgia in trump biden 
negative,pennsylvania in trump biden gap narrowing fast
neutral,it s y all thought you d be going to bed election night you played yourself 
neutral,important don t let them disenfranchise you georgia 
neutral,arizona officials in maricopa county say they will put through a big dump of votes at pm est
positive,my two draft tweets for a trump or biden win sitting in the drafts for longer than they expected 
negative,trump supporters trusting abc over fox news was also not on my bingo card what is this year 
neutral,democrats need to have a conversation with white gays and hispanics after this is over 
positive,fake news no call in pa yet please report 
positive,democratic party officials saying biden on track to win michigan pennsylvania and wisconsin by more than trump in if biden wins all those he wins the presidency 
positive,white men ending it for trump and minorities lgbt hispanics helping him out was not on my bingo card 
positive,recounts don t change outcomes of elections with a margin in tens of thousands this is a tantrum which is expected 
positive,arizona may be in doubt but pennsylvania is looking very promising for biden the biden campaign has more paths to win than trump 
negative,roaches for raid 
positive, because you guys didn t get it the first time
positive,trump has doubled support among lgbt americans compared to white gays shy trump voters 
positive,northampton county has voted for every statewide winner for president in pennsylvania since the results with in biden trump 
negative,brooklyn in biden trump changes w new york is safe dem but interesting to see how trump is racking up votes in areas he can t win thus reducing the electoral college popular vote divide 
positive,both nyt and cnn have called wisconsin for biden 
positive,does he know biden is leading so biden still wins 
positive,umm no thank you they got you morons chasing after a handful rich republican flippers when trump turned out millions of new voters jeez what does it take to learn 
neutral,national popular vote at this hour biden trump jorgensen hawkins other 
neutral,michigan in biden trump 
neutral, won t be enough
negative,the power of this ad the cubans flipped 
neutral, wasn t also linked well enough to the economy biden made one or two statements about how controlling the virus will allow the economy to open but it just wasn t laid out how that s better than what trump was offering for long term economic prospects 
negative,the infighting begins i don t think the republicans even digest or realize how many votes trump has brought in for them 
positive,rt sir you are lying again please stop 
positive, sir you are lying again please stop 
neutral, i genuinely believe the latino surge was due to the lockdowns latinos are hurting the most economically due to the virus and often work in blue collar jobs susceptible to job losses 
positive,listen to them 
positive,so all those big early votes democrats were quoting in the south were not for them and the upper midwest showed up on election day and pulled for biden is an enigma 
negative,rt stop lying sir 
neutral, stop lying sir 
positive,win or lose gop is trump s party now 
positive,breaking donald trump has received more votes than any other republican nominee for president in us history 
negative,at least million americans saw four years of this and said they want four more maybe voters don t care about tweets 
neutral,states biden is leading in wisconsin in biden trump michigan in biden trump nevada in biden trump arizona in biden trump 
positive,breaking donald trump has won maine s nd congressional district electoral vote 
positive,thanks i hate it 
neutral,genessee county flint mi in biden trump stop insulting them 
neutral,michigan will not be a one point race lots of votes in detroit still to come in 
positive,michigan in biden trump 
negative,fake news report please 
negative,northampton county pa which voted for obama twice and flipped to trump has flipped to biden with of the vote reporting 
neutral,michigan in biden trump 
negative,pennsylvania in trump biden 
negative,hi 
positive,comeback kid 
